1,8.867344
2,5.332664
3,4.953456
4,4.016926
5,3.953341
6,3.95066
7,3.702068
8,3.5952
9,3.844175
10,4.255942
11,4.340593
12,4.704097
13,3.785188
14,3.447347
15,2.766688
16,3.474926
17,2.746387
18,2.499327
19,2.952079
20,2.880833
21,2.495113
22,2.039681
23,2.141569
24,1.999078
25,2.012102
26,1.985289
27,1.963456
28,1.973415
29,1.825945
30,1.886849
31,2.000611
32,1.734399
33,1.874591
34,1.878039
35,1.88838
36,1.863482
37,1.794536
38,1.829009
39,1.636341
40,1.737463
41,1.699926
42,1.696095
43,1.65894
44,1.802196
45,1.838968
46,1.575821
47,1.554754
48,1.531006
49,1.629446
50,1.542879
51,1.329527
52,1.614507
53,1.118856
54,1.464356
55,1.412647
56,1.49883
57,2.73681
58,1.593441
59,1.436395
60,1.302331
61,1.257898
62,1.319568
63,1.214615
64,1.216148
65,1.024628
66,0.963342
67,1.00471
68,0.920825
69,1.033055
70,1.051824
71,0.959895
72,1.080935
73,0.941508
74,0.9101
75,0.923889
76,0.885968
77,1.232235
78,0.943807
79,0.933082
80,0.954916
81,0.866433
82,0.740031
83,0.707089
84,0.812425
85,0.596391
86,0.496801
87,0.517103
88,0.522081
89,0.448538
90,0.51672
91,0.496418
92,0.534339
93,0.514421
94,0.527062
95,0.591029
96,0.537403
97,0.516719
98,0.516719
99,0.501014
100,0.522082
101,0.548511
102,0.491822
103,0.512122
104,0.577622
105,0.492204
106,0.469605
107,0.468839
108,0.477649
109,0.524379
110,0.488757
111,0.489141
112,0.440112
113,0.527445
114,0.489141
115,0.515187
116,0.487608
117,0.525146
118,0.506377
119,0.481862
120,0.589496
121,0.555023
122,0.491438
